,date,day,month,year,cases,deaths,country,geoId,population,tot_deaths,tot_cases
0,2020-04-12,12,4,2020,34,3,Afghanistan,AF,37172386.0,18,555
1,2020-04-11,11,4,2020,37,0,Afghanistan,AF,37172386.0,15,521
2,2020-04-10,10,4,2020,61,1,Afghanistan,AF,37172386.0,15,484
3,2020-04-09,9,4,2020,56,3,Afghanistan,AF,37172386.0,14,423
4,2020-04-08,8,4,2020,30,4,Afghanistan,AF,37172386.0,11,367
5,2020-04-07,7,4,2020,38,0,Afghanistan,AF,37172386.0,7,337
6,2020-04-06,6,4,2020,29,2,Afghanistan,AF,37172386.0,7,299
7,2020-04-05,5,4,2020,35,1,Afghanistan,AF,37172386.0,5,270
8,2020-04-04,4,4,2020,0,0,Afghanistan,AF,37172386.0,4,235
9,2020-04-03,3,4,2020,43,0,Afghanistan,AF,37172386.0,4,235
10,2020-04-02,2,4,2020,26,0,Afghanistan,AF,37172386.0,4,192
11,2020-04-01,1,4,2020,25,0,Afghanistan,AF,37172386.0,4,166
12,2020-03-31,31,3,2020,27,0,Afghanistan,AF,37172386.0,4,141
13,2020-03-30,30,3,2020,8,1,Afghanistan,AF,37172386.0,4,114
14,2020-03-29,29,3,2020,15,1,Afghanistan,AF,37172386.0,3,106
15,2020-03-28,28,3,2020,16,1,Afghanistan,AF,37172386.0,2,91
16,2020-03-27,27,3,2020,0,0,Afghanistan,AF,37172386.0,1,75
17,2020-03-26,26,3,2020,33,0,Afghanistan,AF,37172386.0,1,75
18,2020-03-25,25,3,2020,2,0,Afghanistan,AF,37172386.0,1,42
19,2020-03-24,24,3,2020,6,1,Afghanistan,AF,37172386.0,1,40
20,2020-03-23,23,3,2020,10,0,Afghanistan,AF,37172386.0,0,34
21,2020-03-22,22,3,2020,0,0,Afghanistan,AF,37172386.0,0,24
22,2020-03-21,21,3,2020,2,0,Afghanistan,AF,37172386.0,0,24
23,2020-03-20,20,3,2020,0,0,Afghanistan,AF,37172386.0,0,22
24,2020-03-19,19,3,2020,0,0,Afghanistan,AF,37172386.0,0,22
25,2020-03-18,18,3,2020,1,0,Afghanistan,AF,37172386.0,0,22
26,2020-03-17,17,3,2020,5,0,Afghanistan,AF,37172386.0,0,21
27,2020-03-16,16,3,2020,6,0,Afghanistan,AF,37172386.0,0,16
28,2020-03-15,15,3,2020,3,0,Afghanistan,AF,37172386.0,0,10
29,2020-03-11,11,3,2020,3,0,Afghanistan,AF,37172386.0,0,7
30,2020-03-08,8,3,2020,3,0,Afghanistan,AF,37172386.0,0,4
31,2020-03-02,2,3,2020,0,0,Afghanistan,AF,37172386.0,0,1
32,2020-03-01,1,3,2020,0,0,Afghanistan,AF,37172386.0,0,1
33,2020-02-29,29,2,2020,0,0,Afghanistan,AF,37172386.0,0,1
34,2020-02-28,28,2,2020,0,0,Afghanistan,AF,37172386.0,0,1
35,2020-02-27,27,2,2020,0,0,Afghanistan,AF,37172386.0,0,1
36,2020-02-26,26,2,2020,0,0,Afghanistan,AF,37172386.0,0,1
37,2020-02-25,25,2,2020,1,0,Afghanistan,AF,37172386.0,0,1
38,2020-02-24,24,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
39,2020-02-23,23,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
40,2020-02-22,22,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
41,2020-02-21,21,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
42,2020-02-20,20,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
43,2020-02-19,19,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
44,2020-02-18,18,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
45,2020-02-17,17,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
46,2020-02-16,16,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
47,2020-02-15,15,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
48,2020-02-14,14,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
49,2020-02-13,13,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
50,2020-02-12,12,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
51,2020-02-11,11,2,2020,0,0,Afghanistan,AF,37172386.0,0,0
